RegionName,RegionCode,Time,TotalValue
North Macedonia,MK,2020,23
Serbia,RS,2020,177
Kosovo,XKG,2020,7
Austria,AT,2020,2929
Czech Republic,CZ,2020,294
Andorra,AD,2020,0
Armenia,AM,2020,521
Azerbaijan,AZ,2020,664
Belarus,BY,2020,1647
Bosnia and Herzegovina,BA,2020,0
Georgia,GE,2020,711
Israel,IL,2020,392
Kazakhstan,KZ,2020,3941
Kyrgyzstan,KG,2020,722
Moldova,MD,2020,869
Monaco,MC,2020,0
Russia,RU,2020,59598
San Marino,SM,2020,0
Serbia excluding Kosovo,RS,2020,153
Switzerland,CH,2020,321
Tajikistan,TJ,2020,1190
Turkey,TR,2020,2122
Turkmenistan,TM,2020,0
Ukraine,UA,2020,19797
United Kingdom,GB,2020,2973
Uzbekistan,UZ,2020,0
Belgium,BE,2021,16768
Bulgaria,BG,2021,606
Cyprus,CY,2021,318
Czechia,CZ,2021,4673
Germany,DE,2021,27996
Denmark,DK,2021,40862
Estonia,EE,2021,1544
Greece,GR,2021,1804
Spain,ES,2021,46356
EU/EEA (without UK),EU/EEA,2021,315221
EU/EEA (with UK),EU/EEA,2021,315221
Finland,FI,2021,20425
France,FR,2021,25067
Croatia,HR,2021,565
Hungary,HU,2021,3011
Ireland,IE,2021,13201
Iceland,IS,2021,2161
Italy,IT,2021,6051
Liechtenstein,LI,2021,53
Lithuania,LT,2021,668
Luxembourg,LU,2021,2821
Latvia,LV,2021,3690
Malta,MT,2021,922
Netherlands,NL,2021,32558
Norway,NO,2021,25527
Poland,PL,2021,6905
Portugal,PT,2021,3791
Romania,RO,2021,1116
Sweden,SE,2021,37934
Slovenia,SI,2021,1056
Slovakia,SK,2021,2293
Albania,AL,2021,148
Montenegro,ME,2021,21
North Macedonia,MK,2021,11
Serbia,RS,2021,287
Kosovo,XKG,2021,12
Austria,AT,2021,2998
Andorra,AD,2021,0
Armenia,AM,2021,622
Azerbaijan,AZ,2021,799
Belarus,BY,2021,1782
Bosnia and Herzegovina,BA,2021,0
Georgia,GE,2021,747
Israel,IL,2021,436
Kazakhstan,KZ,2021,4059
Kyrgyzstan,KG,2021,955
Monaco,MC,2021,0
Moldova,MD,2021,991
Russia,RU,2021,58340
San Marino,SM,2021,0
Serbia excluding Kosovo,RS,2021,221
Switzerland,CH,2021,349
Tajikistan,TJ,2021,1049
Turkey,TR,2021,3002
Turkmenistan,TM,2021,0
Ukraine,UA,2021,19511
United Kingdom,GB,2021,3140
Uzbekistan,UZ,2021,0
Belgium,BE,2022,17550
Bulgaria,BG,2022,789
Cyprus,CY,2022,360
Czechia,CZ,2022,6287
Germany,DE,2022,45583
Denmark,DK,2022,47327
Estonia,EE,2022,1719
Greece,EL,2022,2242
Spain,ES,2022,65084
EU/EEA (without UK),EU/EEA,2022,401131
EU/EEA (with UK),EU/EEA,2022,401131
Finland,FI,2022,21614
France,FR,2022,28931
Croatia,HR,2022,403
Hungary,HU,2022,3132
Ireland,IE,2022,16861
Iceland,IS,2022,2434
Italy,IT,2022,7953
Liechtenstein,LI,2022,62
Lithuania,LT,2022,2355
Luxembourg,LU,2022,3342
Latvia,LV,2022,3073
Malta,MT,2022,876
Netherlands,NL,2022,39604
Norway,NO,2022,33043
Poland,PL,2022,12753
Portugal,PT,2022,6590
Romania,RO,2022,5503
Sweden,SE,2022,41378
Slovenia,SI,2022,1171
Slovakia,SK,2022,3104
Montenegro,ME,2022,31
North Macedonia,MK,2022,56
Serbia,RS,2022,264
Kosovo,XKG,2022,37
Austria,AT,2022,3003
Albania,AL,2022,98
Andorra,AD,2022,0
Armenia,AM,2022,535
Azerbaijan,AZ,2022,766
Belarus,BY,2022,1644
Bosnia and Herzegovina,BA,2022,54
Georgia,GE,2022,617
Israel,IL,2022,456
Kazakhstan,KZ,2022,4006
Kyrgyzstan,KG,2022,1094
Moldova,MD,2022,929
Monaco,MC,2022,0
Russia,RU,2022,55573
San Marino,SM,2022,1
Serbia excluding Kosovo,RS,2022,164
Switzerland,CH,2022,349
Tajikistan,TJ,2022,1037
Turkey,TR,2022,3824
Turkmenistan,TM,2022,0
Ukraine,UA,2022,12212
United Kingdom,GB,2022,4040
Uzbekistan,UZ,2022,0
